epoch,dice_coef,iou,loss,lr,precision_2,recall_2,val_dice_coef,val_iou,val_loss,val_precision_2,val_recall_2
0,0.20323172211647034,0.11335389316082001,0.7967682480812073,1e-04,0.28699249029159546,0.9259164333343506,0.150313138961792,0.08129087835550308,0.8496868014335632,0.3119649887084961,0.6249717473983765
1,0.25786924362182617,0.14815926551818848,0.7421308159828186,1e-04,0.3363158404827118,0.8720613718032837,0.1495230793952942,0.08082883059978485,0.850476861000061,0.33319127559661865,0.019576700404286385
2,0.3115397095680237,0.18470774590969086,0.6884603500366211,1e-04,0.4436250627040863,0.7201710939407349,0.14699356257915497,0.07935215532779694,0.8530063629150391,0.0,0.0
3,0.3719456195831299,0.22871477901935577,0.6280542612075806,1e-04,0.6055622100830078,0.5995566248893738,0.14414101839065552,0.07769148051738739,0.8558589816093445,0.0,0.0
4,0.40831202268600464,0.2568037807941437,0.5916880369186401,1e-04,0.6706047654151917,0.5444806814193726,0.14149506390094757,0.07615561783313751,0.8585048913955688,0.0,0.0
5,0.4377695918083191,0.2805512547492981,0.5622304677963257,1e-04,0.7277975678443909,0.5160945653915405,0.13908074796199799,0.0747581496834755,0.860919177532196,0.0,0.0
6,0.4555577337741852,0.29532623291015625,0.5444422960281372,1e-05,0.7562320232391357,0.5127992033958435,0.13676364719867706,0.07342030107975006,0.8632363080978394,0.0,0.0
7,0.4602948725223541,0.29930979013442993,0.5397051572799683,1e-05,0.7679407596588135,0.5107100009918213,0.1344791054725647,0.07210462540388107,0.8655208349227905,0.0,0.0
8,0.46359825134277344,0.30211931467056274,0.5364017486572266,1e-05,0.7695293426513672,0.5143468379974365,0.13222582638263702,0.07081015408039093,0.8677741289138794,0.0,0.0
9,0.46642693877220154,0.3045247793197632,0.5335730314254761,1e-05,0.7728532552719116,0.5157824754714966,0.1299389898777008,0.06949969381093979,0.8700610399246216,0.0,0.0
10,0.4691663384437561,0.3068569302558899,0.5308336019515991,1e-05,0.7788947820663452,0.5142734050750732,0.12767602503299713,0.06820612400770187,0.8723238706588745,0.0,0.0
