,Image,Acc,F1,Jaccard,Recall,Precision
0,01_test,0.5002632141113281,0.10201185865579053,0.053747363554939184,0.8458565420029556,0.05427900326797386
1,02_test,0.8072891235351562,0.13903469902515508,0.07471106471051522,0.3701787821036392,0.0855907841450364
2,03_test,0.4970741271972656,0.11604658491287119,0.06159737495818297,0.8015931826602445,0.06255104769752297
3,04_test,0.5951652526855469,0.10029248442202535,0.05279364512674045,0.6057968045882834,0.05467183037406069
4,05_test,0.5849761962890625,0.10457441029777288,0.055171994546196666,0.6737009544008483,0.05668677278892141
5,06_test,0.47332763671875,0.10526997952147653,0.05555935588907283,0.8426185288930387,0.05614195162750831
6,07_test,0.594696044921875,0.1099271173661724,0.058160253171289526,0.7089141004862236,0.05958316305680425
7,08_test,0.5823135375976562,0.10075392979747375,0.05304943439305358,0.6939699060979749,0.05432020049059979
8,09_test,0.6394157409667969,0.09153379657661294,0.04796196883781361,0.6058524173027989,0.04950670035035191
9,10_test,0.4689140319824219,0.08722504507457794,0.045601310729195946,0.8228599703117269,0.04605340588890966
10,11_test,0.66839599609375,0.10687352306585841,0.056453451139163564,0.6111633372502938,0.05855663138932673
11,12_test,0.5732192993164062,0.10464650991564896,0.05521213349547358,0.7481405195102414,0.05625779804672375
12,13_test,0.4847984313964844,0.10983318064078144,0.058107665162599645,0.849423998368845,0.05871244151305034
13,14_test,0.6662178039550781,0.1031906279787223,0.054402213264457,0.6298010759414487,0.05619934355951504
14,15_test,0.5762176513671875,0.07644985368449055,0.03974414383265624,0.6589280596159358,0.0405789427235019
15,16_test,0.6738395690917969,0.11888248812308708,0.0631977999101557,0.6325254962166904,0.0656065879569599
16,17_test,0.7224845886230469,0.11989015110272323,0.06376763100998661,0.5724353049907579,0.06695674499682445
17,18_test,0.6762275695800781,0.10362562970629548,0.054644078368474396,0.6056042463893346,0.056660430092624677
18,19_test,0.4423713684082031,0.08568980291345331,0.044762757385854966,0.8631552419354839,0.0450826954844909
19,20_test,0.4902687072753906,0.08101621011946109,0.042218287901485886,0.8166943982251803,0.0426221678691087
